ID,time,t,mood,mood_3dayavg,circumplex.arousal_3dayavg,circumplex.valence_3dayavg,activity_3dayavg,screen_3dayavg,call_3dayavg,sms_3dayavg,appCat.builtin_3dayavg,appCat.communication_3dayavg,appCat.other_3dayavg,appCat.professional_3dayavg,appCat.recreation_3dayavg,appCat.convenience_3dayavg,weekend
AS14.30,2014-03-27,39.0,0.59375,0.15151515151515227,1.0,0.0,0.633338669113662,0.8617113726323715,0.8947368421052633,0.0,0.09591080828872453,0.8431575061130885,0.6107084687752513,1.0,0.3258132229283991,0.19608377200552296,0.0
AS14.30,2014-03-28,40.0,0.625,0.1212121212121211,0.8571428571428572,0.0,0.6906818488844446,0.9360071530198653,1.0,0.0,0.10570006636305174,0.9879338320362172,0.39607237486431757,0.5421081750230793,0.3852287686428385,0.2921273623576114,0.0
AS14.30,2014-03-29,41.0,1.0,0.0,0.9090909090909091,0.0,1.0,1.0,1.0,0.0,0.08864048566599822,0.9027606089335902,0.4203936635486265,0.6332604854685545,0.3266203807740936,0.34035478512254064,1.0
AS14.30,2014-03-30,42.0,0.5,0.9696969696969706,0.49350649350649345,0.49999999999999956,0.8274377446397527,0.8996257247681743,0.31578947368421056,0.0,0.05550551515980806,1.0,0.16002182901683537,0.5776835676957848,0.36967722746046816,0.3383281735415948,1.0
AS14.30,2014-03-31,43.0,0.5,0.8787878787878789,0.37662337662337664,0.49999999999999956,0.738124006214715,0.6832693408392516,0.5263157894736843,0.0,0.03455606228422223,0.7736594814850988,0.12876434582080631,0.5694853436261362,0.2536216552556658,0.50683088108388,0.0
AS14.30,2014-04-01,44.0,0.625,0.7575757575757578,0.16883116883116878,0.49999999999999956,0.6330907409147137,0.5175761522007287,0.4210526315789474,0.0,0.006089399146807409,0.8744538036709615,0.07411834496282559,0.4370758315445856,0.14790043920258655,0.5051966473938558,0.0
AS14.30,2014-04-02,45.0,0.5,0.3939393939393945,0.22077922077922074,0.7499999999999996,0.7078532659869694,0.35565571530310836,0.6315789473684211,0.2857142857142857,0.20182685334072703,0.5962335717465848,0.1709312330487231,0.16469458248763288,0.13107702190198045,0.49842239817052136,0.0
AS14.30,2014-04-03,46.0,0.75,0.3939393939393945,0.37662337662337664,0.24999999999999956,0.7564540059482319,0.26307173188819877,0.31578947368421056,0.2857142857142857,0.1882311388570666,0.5539577311436577,0.311077915342208,0.11407748481795332,0.0035827362846377886,0.10445342164307908,0.0
AS14.30,2014-04-04,47.0,0.625,0.6363636363636367,0.6363636363636364,0.24999999999999956,0.5307816665176897,0.3155165877149826,0.36842105263157904,0.2857142857142857,0.2211588658123924,0.22582574420010187,0.4219893389354338,0.28447983541898875,0.3626609763548526,0.056559048153262015,0.0
AS14.30,2014-04-05,48.0,0.75,0.6363636363636367,0.6363636363636364,0.0,0.5193707102004719,0.4126989196233781,0.2105263157894737,0.0,0.06769645625526838,0.2491358838744256,0.4061659648875958,0.7948902658054718,0.35869352108235797,0.24274437996202974,1.0
AS14.30,2014-04-06,49.0,0.75,0.8787878787878789,0.5844155844155845,0.49999999999999956,0.3431577269658845,0.42289919984385094,0.31578947368421056,0.0,0.08668184692879982,0.1337935769882141,0.3176299493400806,0.8243766153486719,0.4993774445007185,0.3235202903866069,1.0
AS14.30,2014-04-07,50.0,0.5,0.8787878787878789,0.22077922077922074,0.49999999999999956,0.1940011320523361,0.27694020711182765,0.26315789473684215,0.0,0.06965269522925627,0.031130564501673674,0.1660501086457421,0.6539742647476364,0.3965334788124174,0.3804218264584053,0.0
AS14.30,2014-04-08,51.0,0.625,0.7575757575757578,0.5324675324675325,0.49999999999999956,0.12676793040442563,0.3006589827868176,0.10526315789473685,0.0,0.08900308988711453,0.26855647767507035,0.15062332318152372,0.05065603639472834,0.2897580012756068,0.4814665494477046,0.0
AS14.30,2014-04-09,52.0,0.59375,0.6363636363636367,0.5844155844155845,0.49999999999999956,0.36489949206666156,0.5384417188085353,0.0,0.0,0.21761014397187384,0.5664186815445913,0.20755253800048779,0.05551688723831959,0.30260519950347164,0.6228061895926822,0.0
AS14.30,2014-04-10,53.0,0.8749999999999991,0.48484848484848264,0.7662337662337662,0.49999999999999956,0.6232617240636675,0.8174848358175055,0.15789473684210528,0.7142857142857143,0.2697074194295099,0.7942182806824132,0.3889348900082536,0.06202452166209947,0.3932948993320621,0.5279410812909907,0.0
AS14.30,2014-04-11,54.0,0.541666666666667,0.8484848484848495,0.5064935064935064,0.49999999999999956,0.6690760680150931,0.6444187716564105,0.15789473684210528,1.0,0.207244222798048,0.4826036680303342,0.39020210926537013,0.09458054069664625,0.5050951135832923,0.3597485006040733,0.0
AS14.30,2014-04-12,55.0,0.625,0.7676767676767682,0.48917748917748916,0.08333333333333304,0.6617111012108101,0.7598160533053173,0.36842105263157904,1.0,0.13109589650569994,0.6471637692769159,0.3017024902079017,0.08921510887429768,0.5879952753642296,0.25314306826026933,1.0
AS14.30,2014-04-13,56.0,0.25,0.7979797979797976,0.35930735930735935,0.33333333333333304,0.3455422463768973,0.5322453011308539,0.2105263157894737,0.2857142857142857,0.07586851390199623,0.4946100117993922,0.09754214946573724,0.0827074744505178,0.5377454211956417,0.2246680294269935,1.0
AS14.30,2014-04-14,57.0,0.59375,0.19191919191919204,0.20346320346320357,0.33333333333333304,0.21524646546841658,0.4868578173340743,0.26315789473684215,0.0,0.08452354789248231,0.3913913499023262,0.05540056223699928,0.16597631552048905,0.5817451462018016,0.08757173369002416,0.0
AS14.30,2014-04-15,58.0,0.5,0.2424242424242422,0.31168831168831157,0.7499999999999996,0.22528436105790312,0.23189649880788576,0.052631578947368425,0.0,0.03789422890064592,0.1567278833243863,0.0083487777992063,0.11582486010451802,0.4325041416358023,0.02898877071108047,0.0
AS14.30,2014-04-16,59.0,1.0,0.1212121212121211,0.20779220779220786,0.49999999999999956,0.4436871289525442,0.36205394942026836,0.26315789473684215,0.0,0.06754210348556483,0.39446030246769354,0.8020607958980267,0.4178579482861282,0.29055503337912414,0.1670451113220573,0.0
AS14.30,2014-04-17,60.0,0.5,0.8484848484848495,0.5194805194805195,0.9999999999999991,0.5986192004971154,0.47843204144279716,0.31578947368421056,0.0,0.09483701024252533,0.6363434330122728,0.8782699416701861,0.32298212225786194,0.20734351982996346,0.14379233905764582,0.0
AS14.30,2014-04-18,61.0,0.375,0.7575757575757578,0.37662337662337664,0.9999999999999991,0.6252821533093431,0.7392407850829161,0.31578947368421056,0.0,0.12578339670068073,0.6132380695528112,1.0,0.4780199009333937,0.5937355053109518,0.12995663617535383,0.0
AS14.30,2014-04-19,62.0,0.625,0.6363636363636367,0.4285714285714286,0.9999999999999991,0.39533896320960743,0.8164785032029138,0.10526315789473685,0.0,0.08614036435796807,0.4589046424662821,0.5399164079149937,0.24167968680285484,0.8877783535436635,0.0,1.0
AS14.30,2014-04-20,63.0,0.59375,0.2727272727272698,0.22077922077922074,0.49999999999999956,0.24576476167245426,0.7417499719294622,0.052631578947368425,0.0,0.057855843248235006,0.21284864553157073,0.47944275198299835,0.2386457111428029,1.0,0.026998565326199542,1.0
AS14.30,2014-04-21,64.0,0.625,0.3636363636363651,0.10389610389610382,0.49999999999999956,0.0,0.5443908452456732,0.052631578947368425,0.0,0.01105676500688324,0.18275610236841416,0.3853214287220238,0.08360793246727119,0.7065777235685412,0.1185507097859855,0.0
AS14.30,2014-04-22,65.0,0.75,0.6060606060606073,0.0,0.49999999999999956,0.1519367178495757,0.4206339554013292,0.052631578947368425,0.0,0.005636851800559103,0.412471220698095,0.3445424905718664,0.03759533903461166,0.42154601608003384,0.17006008370728343,0.0
AS14.30,2014-04-23,66.0,0.5,0.7272727272727284,0.10389610389610382,0.7499999999999996,0.3128171033754716,0.4037602655812189,0.10526315789473685,0.42857142857142855,0.02163165756108512,0.5704970886798941,0.4650000033289473,0.06855162544840375,0.1525245281300519,0.23639756644804977,0.0
AS14.30,2014-04-24,67.0,0.8749999999999991,0.6363636363636367,0.06493506493506473,0.7499999999999996,0.3176011182847151,0.27573092993111903,0.10526315789473685,0.42857142857142855,0.01484435927738137,0.5669484548440964,0.42956136237388565,0.25885653189000457,0.05380043678069857,0.13362826846738002,0.0
AS14.30,2014-04-25,68.0,0.4375,0.8787878787878771,0.168831168831169,1.0,0.3457080317665359,0.16822546542832684,0.10526315789473685,0.42857142857142855,0.005107272055251785,0.409125702884196,0.11925620665571958,0.3286769107962482,0.0,0.07542824473593376,0.0
AS14.30,2014-04-26,69.0,0.625,0.5757575757575744,0.11688311688311692,0.7499999999999996,0.3278443590396299,0.2851346256499143,0.0,0.0,0.05008392211923657,0.3648820756350711,0.04793084844434965,0.2798055659662563,0.25822880873130316,0.22601505868139454,1.0
AS14.30,2014-04-27,70.0,0.625,0.6969696969696955,0.16883116883116867,0.7499999999999996,0.8287601442936585,0.368572780170763,0.10526315789473685,0.0,0.8868260630987019,0.31277399982104287,0.18896547193708552,0.107401115918962,0.30716723125081147,0.185302144459786,1.0
AS14.30,2014-04-28,71.0,0.75,0.45454545454545503,0.22077922077922074,0.49999999999999956,0.756701566794183,0.40762721018957837,0.15789473684210528,0.0,0.9238482660438929,0.0735471780183124,0.2297317600876534,0.017900456394306506,0.45572193551370777,0.22986737357611325,0.0
AS14.30,2014-04-29,72.0,0.75,0.7575757575757578,0.22077922077922074,0.49999999999999956,0.8450684967236646,0.3717700111308022,0.26315789473684215,0.2857142857142857,1.0,0.01756999387846797,0.1653792148078676,0.36217557146635115,0.4663878357031418,0.11475232999654819,0.0
AS14.30,2014-04-30,73.0,0.625,0.8787878787878789,0.2727272727272727,0.49999999999999956,0.5588641914587085,0.44278011359261127,0.15789473684210528,0.42857142857142855,0.23236364821410338,0.18483832783303783,0.16102916845782522,0.41281700583918624,0.3946872184888236,0.3994487832240249,0.0
